symbol,phase,hist_confirm,rsi_buy_max,rsi_sell_ob,stop_loss,take_profit,min_hold_bars,max_hold_bars,use_rvol,rvol_min,macd_fast,macd_slow,macd_sig,trades,wins,win_rate,profit_factor,sharpe,avg_win,avg_loss,wr_ratio,max_dd,max_cl,total_pnl,avg_hold,score
MOMENTUM,baseline [seed 0],2,65,75,0.015,0.03,1,15,False,3.0,12,26,9,424,219,51.7,3.25,0.371,1.027,-0.337,3.04,7.6,11,155.754,4.9,57.73
MOMENTUM,phase1 [seed 0],2,70,0,0.02,0.015,2,15,True,3.0,12,26,9,66,61,92.4,31.27,2.022,1.401,-0.547,2.56,2.0,1,82.738,5.1,125.0
MOMENTUM,phase1 [seed 0],3,70,0,0.02,0.02,2,15,True,3.0,12,26,9,49,45,91.8,31.77,2.01,1.795,-0.636,2.82,2.0,1,78.252,6.3,125.0
MOMENTUM,phase1 [seed 0],2,70,0,0.015,0.015,2,15,True,3.0,12,26,9,66,61,92.4,25.97,1.944,1.401,-0.658,2.13,1.5,1,82.18,5.0,124.94
MOMENTUM,phase1 [seed 0],3,70,0,0.015,0.02,2,15,True,3.0,12,26,9,49,45,91.8,26.05,1.932,1.795,-0.775,2.32,1.5,1,77.694,6.2,124.82
MOMENTUM,phase1 [seed 0],3,70,0,0.02,0.015,2,15,True,3.0,12,26,9,49,45,91.8,25.15,1.953,1.422,-0.636,2.24,2.0,1,61.426,5.1,124.53
MOMENTUM,phase1 [seed 0],3,70,0,0.015,0.015,2,15,True,3.0,12,26,9,49,45,91.8,20.63,1.859,1.422,-0.775,1.83,1.5,1,60.868,5.0,124.09
MOMENTUM,phase1 [seed 0],2,55,0,0.02,0.02,2,15,True,3.0,12,26,9,36,33,91.7,23.6,1.903,1.81,-0.844,2.15,2.0,1,57.2,6.3,124.03
MOMENTUM,phase1 [seed 0],2,70,0,0.02,0.02,2,15,True,3.0,12,26,9,66,60,90.9,32.16,1.89,1.759,-0.547,3.22,2.0,1,102.25,6.4,123.9
MOMENTUM,phase1 [seed 0],3,65,0,0.02,0.02,2,15,True,3.0,12,26,9,44,40,90.9,28.05,1.883,1.784,-0.636,2.81,2.0,1,68.797,6.2,123.83
MOMENTUM,phase1 [seed 0],2,60,0,0.02,0.02,2,15,True,3.0,12,26,9,48,44,91.7,30.32,1.879,1.753,-0.636,2.76,2.0,1,74.567,6.4,123.79
MOMENTUM,phase1 [seed 0],2,55,75,0.02,0.02,2,15,True,3.0,12,26,9,36,33,91.7,23.07,1.876,1.77,-0.844,2.1,2.0,1,55.87,6.2,123.76
MOMENTUM,phase1 [seed 0],2,55,0,0.015,0.02,2,15,True,3.0,12,26,9,36,33,91.7,19.33,1.811,1.81,-1.03,1.76,1.5,1,56.642,6.2,123.61
MOMENTUM,phase1 [seed 0],2,60,0,0.015,0.02,2,15,True,3.0,12,26,9,48,44,91.7,24.86,1.81,1.753,-0.775,2.26,1.5,1,74.009,6.3,123.6
MOMENTUM,phase1 [seed 0],3,65,0,0.015,0.02,2,15,True,3.0,12,26,9,44,40,90.9,23.0,1.808,1.784,-0.775,2.3,1.5,1,68.239,6.1,123.58
MOMENTUM,phase1 [seed 0],2,60,0,0.02,0.015,2,15,True,3.0,12,26,9,48,44,91.7,24.22,1.842,1.4,-0.636,2.2,2.0,1,59.05,5.2,123.42
MOMENTUM,phase1 [seed 0],2,55,75,0.015,0.02,2,15,True,3.0,12,26,9,36,33,91.7,18.9,1.785,1.77,-1.03,1.72,1.5,1,55.312,6.0,123.35
MOMENTUM,phase1 [seed 0],1,70,0,0.015,0.015,2,15,True,3.0,12,26,9,84,79,94.0,23.23,1.78,1.341,-0.912,1.47,1.5,1,101.371,4.9,123.3
MOMENTUM,phase1 [seed 0],2,55,75,0.02,0.015,2,15,True,3.0,12,26,9,36,33,91.7,18.95,1.83,1.454,-0.844,1.72,2.0,1,45.449,5.2,123.3
MOMENTUM,phase1 [seed 0],2,55,0,0.02,0.015,2,15,True,3.0,12,26,9,36,33,91.7,18.95,1.83,1.454,-0.844,1.72,2.0,1,45.449,5.2,123.3
MOMENTUM,phase1 [seed 0],3,65,0,0.02,0.015,2,15,True,3.0,12,26,9,44,40,90.9,22.2,1.825,1.412,-0.636,2.22,2.0,1,53.926,5.1,123.25
MOMENTUM,phase1 [seed 0],2,60,75,0.02,0.015,2,15,True,3.0,12,26,9,48,44,91.7,23.85,1.809,1.378,-0.636,2.17,2.0,1,58.11,5.1,123.09
MOMENTUM,phase1 [seed 0],2,60,0,0.015,0.015,2,15,True,3.0,12,26,9,48,44,91.7,19.86,1.757,1.4,-0.775,1.81,1.5,1,58.492,5.1,123.07
MOMENTUM,phase1 [seed 0],1,55,0,0.015,0.02,2,15,True,3.0,12,26,9,46,43,93.5,17.27,1.746,1.808,-1.5,1.21,1.5,1,73.232,6.4,122.96
MOMENTUM,phase1 [seed 0],2,65,0,0.02,0.015,2,15,True,3.0,12,26,9,54,49,90.7,24.84,1.789,1.386,-0.547,2.53,2.0,1,65.161,5.1,122.89
MOMENTUM,phase1 [seed 0],2,60,75,0.02,0.02,2,15,True,3.0,12,26,9,48,44,91.7,28.3,1.786,1.636,-0.636,2.57,2.0,1,69.436,5.9,122.86
MOMENTUM,phase2 [seed 0],4,75,75,0.025,0.009999999999999998,2,20,True,3.0,8,21,9,40,40,100.0,50.0,2.911,0.828,0.0,0.0,0.0,0,33.11,3.1,130.0
MOMENTUM,phase2 [seed 0],1,50,0,0.025,0.009999999999999998,2,20,True,3.0,8,21,9,45,44,97.8,50.0,5.961,0.995,-0.089,11.12,0.1,1,43.698,3.6,126.91
MOMENTUM,phase2 [seed 0],2,50,70,0.02,0.009999999999999998,3,15,True,3.0,8,21,9,34,33,97.1,50.0,5.158,0.994,-0.089,11.1,0.1,1,32.698,3.6,126.91
MOMENTUM,phase2 [seed 0],2,50,70,0.025,0.009999999999999998,2,15,True,3.0,8,21,9,34,33,97.1,50.0,5.158,0.994,-0.089,11.1,0.1,1,32.698,3.6,126.91
