date,time,ticker,action,qty,price,position_value,entry_price,pnl_dollars,pnl_pct,reason
2026-03-23,20:37:31,TOVX,BUY,26455,0.19,5000.0,,,,SIGNAL
2026-03-24,10:00:28,PTLE,BUY,678,7.36,4992.79,,,,SIGNAL
2026-03-24,10:00:29,ANNA,BUY,698,7.16,4997.68,,,,SIGNAL
2026-03-24,10:15:59,AVTX,BUY,361,13.83,4992.63,,,,SIGNAL
2026-03-24,10:16:00,ANNA,STOP,698,6.94,4844.12,7.16,-153.56,-3.07,STOP
2026-03-24,10:30:28,BIAF,BUY,1742,2.89,5034.38,,,,SIGNAL
2026-03-24,14:30:35,BIAF,BUY,1326,3.77,4999.02,,,,SIGNAL
2026-03-24,14:45:20,PTLE,BUY,718,7.0,5027.01,,,,SIGNAL
2026-03-24,14:45:21,RIME,BUY,3810,1.32,5029.2,,,,SIGNAL
2026-03-24,14:45:22,TOVX,BUY,23148,0.22,5030.06,,,,SIGNAL
2026-03-25,10:25:21,ENVX,BUY,1837,5.464,10037.37,,,,SIGNAL
2026-03-25,11:10:38,BGL,BUY,7311,1.37,10016.07,,,,SIGNAL
2026-03-25,11:11:19,BGL,STOP,7311,1.345,9833.3,1.37,-182.78,-1.82,STOP
2026-03-25,11:11:54,BGL,BUY,7441,1.345,10008.15,,,,SIGNAL
2026-03-25,12:40:34,ANNA,BUY,1451,6.87,9968.37,,,,SIGNAL
2026-03-25,12:44:17,ANNA,SELL,1451,6.84,9924.84,6.87,-43.53,-0.44,SIGNAL
2026-03-25,12:44:19,CODX,BUY,4637,2.15,9969.55,,,,SIGNAL
2026-03-26,10:00:18,EONR,BUY,4752,1.045,4965.84,,,,SIGNAL
2026-03-26,10:01:20,BORR,BUY,855,5.805,4963.27,,,,SIGNAL
2026-03-26,10:21:31,BCRX,BUY,522,9.49,4953.78,,,,SIGNAL
2026-03-27,04:02:13,GVH,BUY,4516,0.9319,4208.28,,,,SIGNAL
2026-03-27,04:02:46,GVH,BUY,4516,0.9319,4208.28,,,,SIGNAL
2026-03-27,04:03:19,GVH,BUY,4516,0.9319,4208.28,,,,SIGNAL
2026-03-27,04:03:52,GVH,BUY,4516,0.9319,4208.28,,,,SIGNAL
2026-03-27,04:04:26,GVH,BUY,4516,0.9319,4208.28,,,,SIGNAL
2026-03-27,04:04:59,GVH,BUY,4516,0.9319,4208.28,,,,SIGNAL
2026-03-27,04:05:32,GVH,BUY,4516,0.9319,4208.28,,,,SIGNAL
2026-03-27,04:06:05,GVH,BUY,4516,0.9319,4208.28,,,,SIGNAL
2026-03-27,04:06:39,GVH,BUY,4516,0.9319,4208.28,,,,SIGNAL
2026-03-27,04:07:12,GVH,BUY,4516,0.9319,4208.28,,,,SIGNAL
2026-03-27,07:36:10,LNAI,BUY,10107,0.5761,5823.15,,,,SIGNAL
2026-03-27,07:36:43,LNAI,STOP,10107,0.4915,4967.59,0.5761,-855.56,-14.69,STOP
2026-03-27,09:39:31,RCKT,BUY,1144,4.33,4953.52,,,,SIGNAL
2026-03-27,09:41:05,AIFF,BUY,1935,2.56,4953.6,,,,SIGNAL
2026-03-27,09:41:05,USEG,BUY,4786,1.035,4953.51,,,,SIGNAL
2026-03-27,09:46:18,RCKT,STOP,1144,4.195,4799.08,4.33,-154.44,-3.12,STOP
2026-03-27,09:49:28,PROP,BUY,2590,1.91,4946.9,,,,SIGNAL
2026-03-27,09:58:25,GVH,BUY,3867,1.28,4949.76,,,,SIGNAL
2026-03-27,09:58:25,SNAP,BUY,1290,3.835,4947.15,,,,SIGNAL
2026-03-27,09:59:31,USEG,SELL,4786,1.035,4953.51,1.035,0.0,0.0,SIGNAL
2026-03-27,10:00:04,EONR,BUY,5049,0.9802,4949.03,,,,SIGNAL
2026-03-27,10:05:27,AIRS,BUY,1689,2.925,4940.32,,,,SIGNAL
2026-03-27,10:05:27,HCTI,BUY,1886,2.62,4941.32,,,,SIGNAL
2026-03-27,10:06:30,GVH,STOP,3867,1.24,4795.08,1.28,-154.68,-3.13,STOP
2026-03-27,10:09:07,AIFF,STOP,1935,2.37,4585.95,2.56,-367.65,-7.42,STOP
2026-03-27,10:10:11,TRON,BUY,2359,2.08,4906.72,,,,SIGNAL
2026-03-27,10:29:01,SNAP,SELL,1290,3.86,4979.4,3.835,32.25,0.65,SIGNAL
2026-03-27,10:31:07,PROP,STOP,2590,1.835,4752.65,1.91,-194.25,-3.93,STOP
2026-03-27,10:39:29,EONR,STOP,5049,0.945,4771.3,0.9802,-177.72,-3.59,STOP
2026-03-27,11:02:03,HCTI,SELL,1886,2.76,5205.36,2.76,0.0,0.0,SIGNAL
2026-03-27,11:19:20,RCKT,BUY,1236,3.96,4894.56,,,,SIGNAL
2026-03-27,11:20:24,RCKT,EXHAUSTION,1236,3.965,4900.74,3.96,,,EXHAUSTION-REENTRY
2026-03-27,12:49:28,USEG,BUY,7239,1.015,7347.58,,,,SIGNAL
2026-03-27,13:24:04,USEG,EXHAUSTION,7239,1.015,7347.58,1.015,,,EXHAUSTION-REENTRY
2026-03-27,13:56:08,TURB,BUY,2987,2.46,7348.02,,,,SIGNAL
